Seconds, instMass, instFuel, Acceleration, Acceleration X, Acceleration Y, Total Speed, Speed X, Speed Y, Height, Delta X, Gravitational Acceleration
76, 1430000.0, 1290000.0, 14.559346254543525,5.009573993625116, 13.670359606172966,723.5679905371726 , 217.6449314209679, 690.0589255685084, 22282.089929729635, 6637.018349919874, 9.757735839993682
77, 1420000.0, 1280000.0, 14.746066302122376,5.095602794337752, 13.83767695637264,738.1124139275025 , 222.65450541459302, 703.7292851746813, 22972.148855298143, 6857.168068337654, 9.755629778469881
78, 1410000.0, 1270000.0, 14.935107613906927,5.183247192534841, 14.006833617204867,752.8429165046113 , 227.75010820893078, 717.566962131054, 23675.878140472825, 7082.370375149416, 9.753482697135514
79, 1400000.0, 1260000.0, 15.126495205314928,5.27253737499956, 14.177842107515806,767.7617903256847 , 232.93335540146563, 731.5737957482588, 24393.44510260388, 7312.712106954615, 9.751294126760358
80, 1390000.0, 1250000.0, 15.32025853848018,5.363505316138509, 14.350718881283571,782.8713513202558 , 238.2058927764652, 745.7516378557747, 25125.01889835214, 7548.28173104358, 9.749063593972606
81, 1380000.0, 1240000.0, 15.51852974974229,5.456648775393912, 14.527551401926914,798.1739437017619 , 243.5693980926037, 760.1023567370582, 25870.770536207914, 7789.169376478115, 9.74679062126124
82, 1370000.0, 1230000.0, 15.718057322084361,5.551280656431386, 14.705121864638203,813.6740542761055 , 249.02604686799762, 774.6299081389851, 26630.87289294497, 8035.467098958416, 9.744474726967336
83, 1360000.0, 1220000.0, 15.919808473267345,5.647638279759993, 14.8843704497874,829.3728988098787 , 254.577327524429, 789.3350300036233, 27405.502801083956, 8287.26878615463, 9.742115418969737
84, 1350000.0, 1210000.0, 16.123866362564247,5.745766307047726, 15.065365446036347,845.2726642293803 , 260.22496580418897, 804.2194004534107, 28194.837831087578, 8544.669932818937, 9.739712204535167
85, 1340000.0, 1200000.0, 16.330316845252895,5.845711043965978, 15.248177289656775,861.3756195613497 , 265.9707321112367, 819.284765899447, 28999.057231540988, 8807.76778177665, 9.73726458749539
86, 1330000.0, 1190000.0, 16.53924826825417,5.947520223058763, 15.432878424819382,877.6841185970118 , 271.8164431552027, 834.5329431891038, 29818.341997440435, 9076.66136940987, 9.734772068083535
87, 1320000.0, 1180000.0, 16.750751332399666,6.051243216957025, 15.619543070433297,894.2006023613669 , 277.76396337826145, 849.9658216139231, 30652.87494062954, 9351.451572676604, 9.732234142765225
88, 1310000.0, 1170000.0, 16.964918939605013,6.156930972206649, 15.808247076474082,910.9276014318793 , 283.81520659521846, 865.5853646843565, 31502.84076224346, 9632.241157663344, 9.729650304064977
89, 1300000.0, 1160000.0, 17.181846074699365,6.264636017400737, 15.99906778859779,927.8677381061503 , 289.9721375674251, 881.3936117608306, 32368.426126927818, 9919.134829744666, 9.727020040388622
90, 1290000.0, 1150000.0, 17.4016297120245,6.374412475966374, 16.192083936932214,945.0237284496355 , 296.2367735848258, 897.3926795494284, 33249.819738688646, 10212.239285320791, 9.724342835842256
91, 1280000.0, 1140000.0, 17.624368770137128,6.486316256397013, 16.38737550579057,962.3983842482015 , 302.6111860607922, 913.5847634863607, 34147.21241823807, 10511.6632651436, 9.72161817004823
92, 1270000.0, 1130000.0, 17.85016400908483,6.600404655147644, 16.585023772655035,979.9946149037564 , 309.0975023171892, 929.9721389921513, 35060.79718172443, 10817.51760933259, 9.718845517958455
