Seconds, instWeight, Thrust, ThrustX, ThrustY, Air Resistance, density
277, 1094122.6651561342, 0, 0.0, 0.0, 0.02428455138467332, 3.8385222699265565e-15
278, 1092349.539923581, 0, 0.0, 0.0, 0.02428455138467332, 3.5153140499303672e-15
279, 1090583.1018176524, 0, 0.0, 0.0, 0.02428455138467332, 3.221695246143705e-15
280, 1088823.315757092, 0, 0.0, 0.0, 0.02428455138467332, 2.9547458120186553e-15
281, 1087070.146903456, 0, 0.0, 0.0, 0.02428455138467332, 2.7118541769463263e-15
282, 1085323.5606590419, 0, 0.0, 0.0, 0.02428455138467332, 2.490682562468993e-15
283, 1083583.5226648394, 0, 0.0, 0.0, 0.02428455138467332, 2.2891364288672658e-15
284, 1081849.9987985026, 0, 0.0, 0.0, 0.02428455138467332, 2.105337533328022e-15
285, 1080122.955172342, 0, 0.0, 0.0, 0.02428455138467332, 1.9376001493795204e-15
286, 1078402.3581313363, 0, 0.0, 0.0, 0.02428455138467332, 1.7844100562910404e-15
287, 1076688.1742511664, 0, 0.0, 0.0, 0.02428455138467332, 1.6444059580441653e-15
288, 1074980.3703362658, 0, 0.0, 0.0, 0.02428455138467332, 1.5163630354526745e-15
289, 1073278.9134178932, 0, 0.0, 0.0, 0.02428455138467332, 1.3991783730267466e-15
290, 1071583.7707522234, 0, 0.0, 0.0, 0.02428455138467332, 1.2918580350862048e-15
291, 1069894.9098184577, 0, 0.0, 0.0, 0.02428455138467332, 1.1935055941444921e-15
292, 1068212.2983169532, 0, 0.0, 0.0, 0.02428455138467332, 1.1033119393223531e-15
293, 1066535.9041673697, 0, 0.0, 0.0, 0.02428455138467332, 1.0205462140316122e-15
294, 1064865.6955068365, 0, 0.0, 0.0, 0.02428455138467332, 9.445477508425174e-16
295, 1063201.6406881374, 0, 0.0, 0.0, 0.02428455138467332, 8.747188876968917e-16
296, 1061543.708277911, 0, 0.0, 0.0, 0.02428455138467332, 8.105185637825971e-16
297, 1059891.867054873, 0, 0.0, 0.0, 0.02428455138467332, 7.514566057251311e-16
298, 1058246.086008054, 0, 0.0, 0.0, 0.02428455138467332, 6.970886255223284e-16
299, 1056606.334335053, 0, 0.0, 0.0, 0.02428455138467332, 6.47011461056949e-16
300, 1054972.5814403126, 0, 0.0, 0.0, 0.02428455138467332, 6.008590982493494e-16
301, 1053344.7969334053, 0, 0.0, 0.0, 0.02428455138467332, 5.582990211135502e-16
302, 1051722.9506273423, 0, 0.0, 0.0, 0.02428455138467332, 5.190289422886353e-16
303, 1050107.0125368955, 0, 0.0, 0.0, 0.02428455138467332, 4.827738721493469e-16
304, 1048496.952876937, 0, 0.0, 0.0, 0.02428455138467332, 4.492834894548038e-16
305, 1046892.7420607945, 0, 0.0, 0.0, 0.02428455138467332, 4.183297807592724e-16
306, 1045294.3506986236, 0, 0.0, 0.0, 0.02428455138467332, 3.897049195586951e-16
307, 1043701.7495957946, 0, 0.0, 0.0, 0.02428455138467332, 3.63219359446437e-16
308, 1042114.9097512966, 0, 0.0, 0.0, 0.02428455138467332, 3.3870011845793755e-16
309, 1040533.8023561551, 0, 0.0, 0.0, 0.02428455138467332, 3.159892343456589e-16
310, 1038958.3987918682, 0, 0.0, 0.0, 0.02428455138467332, 2.9494237278575484e-16
311, 1037388.6706288543, 0, 0.0, 0.0, 0.02428455138467332, 2.7542757251331707e-16
312, 1035824.5896249161, 0, 0.0, 0.0, 0.02428455138467332, 2.573241131463397e-16
313, 1034266.127723722, 0, 0.0, 0.0, 0.02428455138467332, 2.405214930179392e-16
314, 1032713.2570532978, 0, 0.0, 0.0, 0.02428455138467332, 2.2491850571653043e-16
315, 1031165.9499245366, 0, 0.0, 0.0, 0.02428455138467332, 2.1042240525616275e-16
316, 1029624.1788297205, 0, 0.0, 0.0, 0.02428455138467332, 1.969481508828913e-16
317, 1028087.9164410579, 0, 0.0, 0.0, 0.02428455138467332, 1.8441772348442474e-16
318, 1026557.1356092353, 0, 0.0, 0.0, 0.02428455138467332, 1.727595064237653e-16
319, 1025031.8093619808, 0, 0.0, 0.0, 0.02428455138467332, 1.6190772437585322e-16
320, 1023511.9109026437, 0, 0.0, 0.0, 0.02428455138467332, 1.518019344204113e-16
321, 1021997.4136087865, 0, 0.0, 0.0, 0.02428455138467332, 1.4238656424406857e-16
322, 1020488.2910307896, 0, 0.0, 0.0, 0.02428455138467332, 1.3361049283895556e-16
323, 1018984.5168904719, 0, 0.0, 0.0, 0.02428455138467332, 1.2542666956088929e-16
324, 1017486.0650797213, 0, 0.0, 0.0, 0.02428455138467332, 1.1779176783461464e-16
325, 1015992.90965914, 0, 0.0, 0.0, 0.02428455138467332, 1.1066587017221934e-16
326, 1014505.0248567025, 0, 0.0, 0.0, 0.02428455138467332, 1.0401218150890986e-16
327, 1013022.3850664267, 0, 0.0, 0.0, 0.02428455138467332, 9.7796768162425e-17
328, 1011544.9648470555, 0, 0.0, 0.0, 0.02428455138467332, 9.198831999243041e-17
329, 1010072.7389207539, 0, 0.0, 0.0, 0.02428455138467332, 8.655793357788624e-17
330, 1008605.6821718154, 0, 0.0, 0.0, 0.02428455138467332, 8.147891444670354e-17
331, 1007143.7696453835, 0, 0.0, 0.0, 0.02428455138467332, 7.672659658580442e-17
332, 1005686.9765461815, 0, 0.0, 0.0, 0.02428455138467332, 7.227817763342974e-17
333, 1004235.2782372591, 0, 0.0, 0.0, 0.02428455138467332, 6.811256831136462e-17
334, 1002788.6502387456, 0, 0.0, 0.0, 0.02428455138467332, 6.42102547946188e-17
335, 1001347.0682266179, 0, 0.0, 0.0, 0.02428455138467332, 6.055317284171259e-17
336, 999910.5080314801, 0, 0.0, 0.0, 0.02428455138467332, 5.712459262160275e-17
337, 998478.9456373522, 0, 0.0, 0.0, 0.02428455138467332, 5.390901327479055e-17
338, 997052.3571804733, 0, 0.0, 0.0, 0.02428455138467332, 5.0892066337475514e-17
339, 995630.7189481125, 0, 0.0, 0.0, 0.02428455138467332, 4.8060427239848916e-17
340, 994214.0073773921, 0, 0.0, 0.0, 0.02428455138467332, 4.5401734163677245e-17
341, 992802.1990541253, 0, 0.0, 0.0, 0.02428455138467332, 4.2904513611084336e-17
342, 991395.2707116572, 0, 0.0, 0.0, 0.02428455138467332, 4.0558112096647094e-17
343, 989993.1992297235, 0, 0.0, 0.0, 0.02428455138467332, 3.835263342923789e-17
344, 988595.9616333159, 0, 0.0, 0.0, 0.02428455138467332, 3.6278881099101656e-17
345, 987203.5350915594, 0, 0.0, 0.0, 0.02428455138467332, 3.432830532995549e-17
346, 985815.8969165991, 0, 0.0, 0.0, 0.02428455138467332, 3.249295439595449e-17
347, 984433.0245624988, 0, 0.0, 0.0, 0.02428455138467332, 3.076542983957666e-17
348, 983054.8956241463, 0, 0.0, 0.0, 0.02428455138467332, 2.9138845259256464e-17
349, 981681.4878361736, 0, 0.0, 0.0, 0.02428455138467332, 2.7606788365263143e-17
350, 980312.7790718828, 0, 0.0, 0.0, 0.02428455138467332, 2.6163286029190135e-17
351, 978948.7473421834, 0, 0.0, 0.0, 0.02428455138467332, 2.480277207678101e-17
352, 977589.3707945396, 0, 0.0, 0.0, 0.02428455138467332, 2.3520057595896696e-17
353, 976234.6277119273, 0, 0.0, 0.0, 0.02428455138467332, 2.231030355146556e-17
354, 974884.4965117992, 0, 0.0, 0.0, 0.02428455138467332, 2.116899551743928e-17
355, 973538.9557450613, 0, 0.0, 0.0, 0.02428455138467332, 2.009192035229325e-17
356, 972197.9840950555, 0, 0.0, 0.0, 0.02428455138467332, 1.9075144659611816e-17
357, 970861.5603765569, 0, 0.0, 0.0, 0.02428455138467332, 1.8114994888938917e-17
358, 969529.6635347736, 0, 0.0, 0.0, 0.02428455138467332, 1.7208038944476288e-17
359, 968202.2726443595, 0, 0.0, 0.0, 0.02428455138467332, 1.635106918050003e-17
360, 966879.366908437, 0, 0.0, 0.0, 0.02428455138467332, 1.554108667263733e-17
361, 965560.9256576245, 0, 0.0, 0.0, 0.02428455138467332, 1.4775286663505456e-17
